,Watched,Date,Day,Rating,title,budget,genres,release_date,revenue,vote_average,vote_count
2016,with gf,2018-09-11,tuesday,4.0,Batman Begins,150000000,"['Action', 'Crime', 'Drama']",2005-06-10,374218673,7.5,7511
2080,with gf,2018-09-25,tuesday,4.0,3 Idiots,9000000,"['Drama', 'Comedy', 'Romance']",2009-12-23,70000000,7.8,850
2208,Family,2018-10-25,thursday,4.0,The Princess Bride,16000000,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",1987-09-18,30857814,7.6,1518
2560,with gf,2019-02-03,sunday,4.0,Gattaca,36000000,"['Thriller', 'Science Fiction', 'Mystery', 'Romance']",1997-09-07,12532777,7.5,1846
2688,with gf,2019-03-08,saturday,4.0,Shaun of the Dead,4000000,"['Horror', 'Comedy']",2004-04-09,30039392,7.5,2479
2848,with gf,2019-04-24,wednesday,4.0,Ip Man,11715578,"['Drama', 'Action', 'History']",2008-12-12,21888598,7.5,1309
4320,with gf,2019-01-18,friday,4.0,Moonrise Kingdom,16000000,"['Comedy', 'Drama', 'Romance']",2012-05-16,68263166,7.6,1701
4576,with gf,2018-10-20,sunday,4.0,Breakfast at Tiffany's,2500000,"['Comedy', 'Drama', 'Romance']",1961-10-05,9500000,7.6,1082
4608,Alone,2019-02-13,wednesday,4.0,Dog Day Afternoon,1800000,"['Crime', 'Drama', 'Thriller']",1975-08-11,46665856,7.6,685
5664,with gf,2018-11-11,sunday,4.0,Platoon,6000000,"['Drama', 'War', 'Action']",1986-12-18,138530565,7.5,1236
5920,Family,2018-07-02,monday,4.0,Toy Story,30000000,"['Animation', 'Comedy', 'Family']",1995-10-30,373554033,7.7,5415
6496,with gf,2018-09-05,sunday,4.0,Dial M for Murder,1400000,"['Crime', 'Mystery', 'Thriller']",1954-05-29,3000000,7.9,539
6880,with gf,2018-08-15,wednesday,4.0,The Notebook,29000000,"['Romance', 'Drama']",2004-06-25,115603229,7.7,3163
7104,Family,2018-07-07,saturday,4.0,Kubo and the Two Strings,60000000,"['Animation', 'Adventure', 'Family']",2016-08-18,69929545,7.7,982
7776,with gf,2018-12-15,sunday,4.0,The Great Escape,4000000,"['Adventure', 'Drama', 'History', 'Thriller', 'War']",1963-06-20,11744471,7.8,731
7968,with gf,2018-10-29,monday,4.0,Rush,38000000,"['Drama', 'Action']",2013-09-02,90247624,7.7,2310
8448,Alone,2018-04-10,tuesday,4.0,Full Metal Jacket,17000000,"['Drama', 'War']",1987-06-26,46357676,7.9,2595
8800,with gf,2018-06-28,thursday,4.0,Dunkirk,100000000,"['Action', 'Drama', 'History', 'Thriller', 'War']",2017-07-19,519876949,7.5,2712
224,with gf,2019-02-28,thursday,4.5,The Imitation Game,14000000,"['History', 'Drama', 'Thriller', 'War']",2014-11-14,233555708,8.0,5895
1568,Alone,2018-04-29,sunday,4.5,The Lord of the Rings: The Fellowship of the Ring,93000000,"['Adventure', 'Fantasy', 'Action']",2001-12-18,871368364,8.0,8892
1760,with gf,2018-06-16,sunday,4.5,The Great Dictator,2000000,['Comedy'],1940-10-15,11000000,8.1,756
2144,with gf,2018-10-09,tuesday,4.5,The Prestige,40000000,"['Drama', 'Mystery', 'Thriller']",2006-10-19,109676311,8.0,4510
2336,Alone,2018-11-29,thursday,4.5,Grave of the Fireflies,3700000,"['Animation', 'Drama', 'War']",1988-04-16,0,8.2,974
2528,with gf,2019-01-26,saturday,4.5,Taxi Driver,1300000,"['Crime', 'Drama']",1976-02-07,28262574,8.1,2632
4256,with gf,2018-04-27,sunday,4.5,Once Upon a Time in the West,5000000,['Western'],1968-12-21,5321508,8.1,1160
6176,Alone,2019-02-03,sunday,4.5,One Flew Over the Cuckoo's Nest,3000000,['Drama'],1975-11-18,108981275,8.3,3001
6560,with gf,2019-01-27,sunday,4.5,Star Wars,11000000,"['Adventure', 'Action', 'Science Fiction']",1977-05-25,775398007,8.1,6778
6944,with gf,2019-04-21,sunday,4.5,Oldboy,3000000,"['Drama', 'Thriller', 'Mystery', 'Action']",2003-01-01,14980005,8.0,2000
7136,with gf,2018-12-03,monday,4.5,The Green Mile,60000000,"['Fantasy', 'Drama', 'Crime']",1999-12-10,284600000,8.2,4166
7328,with gf,2019-04-26,friday,4.5,The Dark Knight,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",2008-07-16,1004558444,8.3,12269
8288,with gf,2018-06-23,saturday,4.5,Reservoir Dogs,1200000,"['Crime', 'Thriller']",1992-09-02,14661007,8.1,3821
8480,Alone,2018-09-19,wednesday,4.5,American History X,20000000,['Drama'],1998-10-30,23875127,8.2,3120
928,with gf,2018-11-12,sunday,5.0,Metropolis,92620000,"['Drama', 'Science Fiction']",1927-01-10,650422,8.0,666
960,with gf,2019-02-18,monday,5.0,Room,6000000,"['Drama', 'Thriller']",2015-10-16,35401758,8.1,2838
1408,with gf,2018-04-01,sunday,5.0,The Prestige,40000000,"['Drama', 'Mystery', 'Thriller']",2006-10-19,109676311,8.0,4510
1536,Alone,2018-04-24,tuesday,5.0,Grave of the Fireflies,3700000,"['Animation', 'Drama', 'War']",1988-04-16,0,8.2,974
1600,with gf,2018-05-08,tuesday,5.0,Taxi Driver,1300000,"['Crime', 'Drama']",1976-02-07,28262574,8.1,2632
1824,with gf,2018-07-07,saturday,5.0,Life Is Beautiful,20000000,"['Comedy', 'Drama']",1997-12-20,229400000,8.3,3643
2048,Family,2018-09-20,thursday,5.0,Spirited Away,15000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",2001-07-20,274925095,8.3,3968
2176,Family,2018-10-16,tuesday,5.0,Back to the Future,19000000,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",1985-07-03,381109762,8.0,6239
2464,Alone,2019-01-05,saturday,5.0,The Lord of the Rings: The Return of the King,94000000,"['Adventure', 'Fantasy', 'Action']",2003-12-01,1118888979,8.1,8226
2496,with gf,2019-01-17,sunday,5.0,Once Upon a Time in the West,5000000,['Western'],1968-12-21,5321508,8.1,1160
2720,with gf,2019-03-18,monday,5.0,Interstellar,165000000,"['Adventure', 'Drama', 'Science Fiction']",2014-11-05,675120017,8.1,11187
2784,Alone,2019-04-03,wednesday,5.0,The Pianist,35000000,"['Drama', 'War']",2002-09-24,120072577,8.1,1927
4288,Alone,2018-08-30,thursday,5.0,The Silence of the Lambs,19000000,"['Crime', 'Drama', 'Thriller']",1991-02-01,272742922,8.1,4549
4960,Family,2018-07-31,tuesday,5.0,The Lion King,45000000,"['Family', 'Animation', 'Drama']",1994-06-23,788241776,8.0,5520
6080,Alone,2018-04-14,saturday,5.0,Dead Poets Society,16400000,['Drama'],1989-06-02,235860116,8.1,2786
6528,Alone,2018-11-12,monday,5.0,Fight Club,63000000,['Drama'],1999-10-15,100853753,8.3,9678
7744,with gf,2018-08-15,sunday,5.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,"['Drama', 'Comedy', 'War']",1964-01-29,9440272,8.0,1472
8160,Family,2018-12-24,sunday,5.0,It's a Wonderful Life,3180000,"['Drama', 'Family', 'Fantasy']",1946-12-20,9644124,8.0,1103
8320,Alone,2018-11-11,sunday,5.0,Paths of Glory,935000,"['Drama', 'War']",1957-09-18,0,8.2,565
8640,Alone,2018-08-02,thursday,5.0,The Shawshank Redemption,25000000,"['Drama', 'Crime']",1994-09-23,28341469,8.5,8358
